source,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude
myrealty,142132,107000,"['water 24/7', 'Electricity', 'Internet', 'Hot water', 'Gas', 'Heating', 'Close to the bus station', 'Sunny', 'Equipment', 'Furniture']","Yerevan, Arabkir, Komitas Ave",52,2,2,3,Other,Good,3.2 M,1,,06.11.2023,397,,,,,,,
myrealty,142129,125000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony', 'Close to the bus station', 'Playground']","Yerevan, Arabkir, Komitas Ave",79,3,2,4,Stone,Good,3.2 M,1,,06.11.2023,350,,,,,,,
myrealty,142125,91800,"['Heating', 'Internet', 'Hot water', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Sunny', 'View', 'Park', 'Elevator']","Yerevan, Arabkir, Hr.Kochar St",56,2,13,13,Panel,Newly repaired,2.8 M,1,,06.11.2023,302,,,,,,,
myrealty,142124,120000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Open balcony']","Yerevan, Center, Argishti St",36,1,11,14,Monolit,Newly repaired,3 M,1,,06.11.2023,673,,,,,,,
myrealty,142117,310000,"['Heating', 'Internet', 'Gas', 'Furniture', 'Equipment', 'Euro windows', 'Iron door', 'Open balcony', 'Sunny', 'Bilateral', 'Roadside']","Yerevan, Center, Abovyan St",108,4,2,5,Stone,Good,2.8 M,1,,06.11.2023,313,,,,,,,
myrealty,142112,360000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Sunny', 'View', 'Close to the bus station', 'Park', 'Elevator']","Yerevan, Arabkir, Gyulbenkyan St",103,3,9,12,Monolit,Newly repaired,3 M,1,,04.11.2023,544,,,,,,,
myrealty,142110,78000,"['water 24/7', 'Electricity', 'Air-conditioner', 'Gas', 'Sunny', 'Parquet', 'Tile', 'Elevator']","Yerevan, Arabkir, Orbeli Yeghbayrner St",44,2,7,9,Panel,Good,2.8 M,1,,04.11.2023,587,,,,,,,
myrealty,142109,109000,"['water 24/7', 'Electricity', 'Hot water', 'Gas', 'Heating', 'Sunny', 'Laminate flooring', 'Tile', 'Euro windows', 'Open balcony']","Yerevan, Arabkir, Aygedzor St",59,3,6,9,Panel,Newly repaired,2.8 M,1,,04.11.2023,528,,,,,,,
myrealty,142108,615000,"['Electricity', 'water 24/7', 'Water', 'Open balcony', 'Elevator', 'Sunny', 'Close to the bus station', 'Roadside', 'Park', 'Security system', 'Iron door']","Yerevan, Center, Buzand St",99,3,4,14,Monolit,Zero condition,3 M,2,,04.11.2023,456,,,,,,,
myrealty,142090,125000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Laminate flooring', 'Parquet', 'Playground', 'Elevator']","Yerevan, Arabkir, Komitas Ave",85,4,1,6,Stone,Good,2.8 M,2,,03.11.2023,489,,,,,,,
