source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Baghramyan+av%28Arabkir%29/Arabkir/Yerevan/135062,135062,880000,"['Heating', 'Internet', 'Electricity', 'Air-conditioner', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Sunny', 'View', 'Close to the bus station', 'Elevator']","Yerevan, Arabkir, Baghramyan av(Arabkir)",191,3,8,18,Monolit,Newly repaired,3 M,2,,31.05.2023,1264,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Nersisyan+dead+end/Qanaqer-Zeytun/Yerevan/135051,135051,810000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Central heating', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Open balcony']","Yerevan, Qanaqer-Zeytun, Nersisyan dead end",269,4,17,19,Monolit,Newly repaired,3 M,4,,31.05.2023,941,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/N.+Tigranyan+dead+end/Arabkir/Yerevan/136580,136580,210000,"['Water', 'water 24/7', 'Electricity', 'Iron door', 'Bilateral', 'Roadside', 'View', 'Sunny', 'Euro windows', 'Open balcony']","Yerevan, Arabkir, N. Tigranyan dead end",78,3,3,12,Monolit,Zero condition,3.2 M,2,,30.05.2023,1500,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Yekmalyan+St/Center/Yerevan/135010,135010,230000,[],"Yerevan, Center, Yekmalyan St",51,2,6,10,Monolit,Newly repaired,3 M,1,,30.05.2023,1959,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/A.+Khachatrian+St/Arabkir/Yerevan/134977,134977,128000,[],"Yerevan, Arabkir, A. Khachatrian St",62,2,5,10,Panel,Newly repaired,2.8 M,1,,29.05.2023,1633,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Sundukyan+St/Arabkir/Yerevan/134948,134948,150000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Tile', 'Laminate flooring', 'Close to the bus station', 'Elevator']","Yerevan, Arabkir, Sundukyan St",69,2,3,9,Panel,Good,2.8 M,1,,29.05.2023,1275,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Adonts+St/Arabkir/Yerevan/134944,134944,190000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Tile', 'Laminate flooring', 'Parquet', 'Sunny', 'View', 'Playground', 'Park', 'Elevator']","Yerevan, Arabkir, Adonts St",74,4,13,18,Other,Newly repaired,2.8 M,2,,29.05.2023,1214,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/A.+Khachatrian+St/Arabkir/Yerevan/134934,134934,175000,"['Electricity', 'Water', 'water 24/7', 'Euro windows', 'Iron door', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Elevator']","Yerevan, Arabkir, A. Khachatrian St",65,2,18,18,Monolit,Zero condition,3.2 M,1,,29.05.2023,1735,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Paronyan+St/Center/Yerevan/134905,134905,155000,"['Gas', 'Heating']","Yerevan, Center, Paronyan St",50,2,5,9,Panel,Newly repaired,2.8 M,1,,27.05.2023,499,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Paronyan+St/Center/Yerevan/134902,134902,515000,"['Heating', 'Internet', 'Hot water', 'Electricity', 'Air-conditioner', 'Gas', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Park', 'Elevator']","Yerevan, Center, Paronyan St",105,3,8,14,Monolit,Newly repaired,3 M,2,,27.05.2023,1616,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale/Ler.+Kamsar+St/Center/Yerevan/134815,134815,160000,"['Heating', 'Internet', 'Hot water', 'Gas', 'Water', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Sunny', 'View', 'Elevator']","Yerevan, Center, Ler. Kamsar St",96,4,9,9,Other,Good,3 M,1,,26.05.2023,1612,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/5-bedroom/apartment-for-sale-in-new-construction/Tsitsernakaberd+Highway/Center/Yerevan/134809,134809,1170000,[],"Yerevan, Center, Tsitsernakaberd Highway",275,5,15,15,Monolit,Newly repaired,3.2 M,3,,26.05.2023,1818,,,,,,,,,,,,,,,
myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Nersisyan+dead+end/Qanaqer-Zeytun/Yerevan/134937,134937,790000,"['Heating', 'Internet', 'Hot water', 'Irrigation', 'Sewerage, Canalization', 'Electricity', 'Air-conditioner', 'Central heating', 'Water', 'water 24/7', 'Furniture', 'Equipment', 'Euro windows', 'Open balcony', 'Tile', 'Heated floor', 'Security system', 'Sunny', 'View', 'Roadside', 'Close to the bus station', 'Parking', 'Garage', 'Playground', 'Park', 'Elevator']","Yerevan, Qanaqer-Zeytun, Nersisyan dead end",269,4,17,19,Monolit,Newly repaired,3 M,4,,25.05.2023,1831,,,,,,,,,,,,,,,
