source,webpage,id,price,facilities,location,area,rooms,floor,storeys,building_type,condition,ceiling_height,bathroom_count,bedrooms,added_in_date,view_count,additional_features,latitude,visit_count,utilities,room_details,details,longitude,flooring,entrance_door,construction_type,renovation,windows,heating,parking,cooling
bars,https://bars.am/en/properties/standard/apartment/1-1-440,1-1-440,148000,"['Elevator', 'Heating system', 'Open balcony', 'Panorama', 'Furniture']",Yerevan/Small Center/Amiryan Street,38.0,1,5,10,Panel,Major overhaul,2.8,1,,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-A-109,1-A-109,560000,"['Building service', 'Building security', 'Parking', 'Elevator', 'Heating system', 'Air conditioning', 'French balcony', 'Panorama', 'Furniture']",Yerevan/Small Center/Antarayin Street,160.0,4,4,5,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1151,4-3-1151,92000,['Elevator'],Yerevan/Arabkir/General Babayan Street,83.0,3,5,9,Panel,Major overhaul,2.75,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/1-2-978,1-2-978,170000,['Air conditioning'],Yerevan/Small Center/Abovyan Street,60.0,2,4,5,Stone,Old major overhaul,2.7,1,1,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/2-3-171,2-3-171,445000,"['Elevator', 'Heating system', 'Cooling system', 'Panorama']",Yerevan/Big Center/Khorenatsi Street (B.C.),143.0,4,1,7,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-NN-339,6-NN-339,70000,"['Heating system', 'Closed balcony']",Yerevan/Nor Nork/Moldovakan,60.0,3,5,5,Stone,Redecoration,,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/6-Dv3-202,6-Dv3-202,190000,[],Yerevan/Davtashen,110.0,3,5,,New building,Without renovation,3.0,2,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1322,4-3-1322,300000,"['Building service', 'Building security', 'Parking', 'Heating system', 'Air conditioning', 'Open balcony']",Yerevan/Arabkir/Azatutyan Avenue,147.1,4,3,4,New building,Major overhaul,3.0,2,3,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1381,4-3-1381,280000,"['Elevator', 'Open balcony']",Yerevan/Arabkir/Nairi Zaryan Street,117.0,3,6,17,New building,Without renovation,,1,2,,,,,,,,,,,,,,,,,
bars,https://bars.am/en/properties/standard/apartment/4-3-1355,4-3-1355,198000,"['Elevator', 'Heating system', 'Open balcony']",Yerevan/Arabkir/Adonts Street,90.0,3,3,8,New building,Major overhaul,3.0,2,2,,,,,,,,,,,,,,,,,
