source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_zvartnoc,SL_dalma,SL_central_cemetery,SL_zeytun_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bnakaran,d107838,580000.0,159.0,4.0,8.0,9.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"(40.166573336966, 44.521657748686)",2231,10417,3145,2285,5510,4151,3880,1,0,3,5,0,0,1,6,1,0,0,2,0,0,0,0
myrealty,124140,211500.0,72.0,3.0,7.0,10.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"(40.14520375, 44.48439985)",5232,7174,3784,4673,9136,5840,127,8,6,2,6,3,0,0,5,0,0,0,2,0,0,0,0
myrealty,135290,115000.0,88.0,3.0,6.0,14.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,"(40.22014872768015, 44.56943866977043)",5976,16213,8254,8135,2150,6911,10972,3,0,2,0,1,0,1,0,0,0,0,1,0,1,0,0
myrealty,137225,204000.0,110.0,4.0,4.0,5.0,1.0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
myrealty,138773,145000.0,60.0,2.0,4.0,16.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"(40.140887872078665, 44.493826561382456)",5331,8033,4273,3986,9116,6266,812,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0
myrealty,140922,355000.0,106.0,3.0,5.0,5.0,2.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,"(40.183313571671, 44.51181945133735)",407,10067,2039,4285,4361,2178,4806,11,23,5,5,6,5,0,4,0,1,1,4,0,5,0,0
bnakaran,d117252,159000.0,57.0,3.0,10.0,10.0,1.0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,"(40.164988496793, 44.512715033065)",2345,9640,2590,2727,5995,3930,3192,8,1,4,2,2,0,2,1,1,0,0,1,0,2,0,0
myrealty,138318,230000.0,112.0,3.0,4.0,13.0,2.0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,"(40.20625843913501, 44.52473536231635)",2396,12140,4314,6283,1948,2813,7578,1,5,1,1,8,0,2,0,2,1,0,3,0,0,0,0
bars,1-B-120,255000.0,58.0,2.0,15.0,13.0,1.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,"(40.17606564344017, 44.51863665459219)",1145,10380,2585,3295,4674,3162,4445,5,9,1,4,7,1,0,2,0,1,1,0,1,0,0,0
bars,6-Ach-118,115000.0,80.0,3.0,3.0,16.0,1.0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,"(40.117706, 44.43443755)",10230,4808,8227,9612,14183,10180,5315,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
bars,4-3-1339,160000.0,96.3,3.0,3.0,12.0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"(40.20019725, 44.52733885)",1890,12020,4050,5579,2102,2869,7086,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0
myrealty,99677,460000.0,92.0,2.0,10.0,17.0,1.0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,"(40.20241187184684, 44.51959732658925)",1864,11551,3703,5968,2519,2266,7006,4,2,2,1,2,0,2,3,0,0,0,1,0,0,0,0
myrealty,127733,306000.0,75.0,2.0,2.0,5.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"(40.17606564344017, 44.51863665459219)",1145,10380,2585,3295,4674,3162,4445,5,9,1,4,7,1,0,2,0,1,1,0,1,0,0,0
