source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,coordinates
bnakaran,d103048,275000.0,70.0,2.0,4.0,16.0,Monolit,Needs Renovation/Repair,1.0,1,0,0,0,0,1,1,0,44.506465,40.183092,"(40.183092, 44.506465)"
bnakaran,d103100,190000.0,44.0,2.0,10.0,16.0,Monolit,Needs Renovation/Repair,1.0,1,0,0,0,0,1,1,0,44.514415,40.178207,"(40.178207, 44.514415)"
bnakaran,d108000,460000.0,131.0,3.0,3.0,10.0,Monolit,New/Excellent Condition,1.0,1,0,0,0,0,1,0,0,44.507364423279,40.189937969705,"(40.189937969705, 44.507364423279)"
bnakaran,d103249,150000.0,120.0,4.0,1.0,9.0,Panel,Good Condition,2.0,0,0,0,0,0,0,0,0,44.521539,40.170455,"(40.170455, 44.521539)"
bnakaran,d111513,590000.0,172.0,3.0,12.0,22.0,Monolit,Good Condition,2.0,1,0,0,0,0,0,0,0,44.519404572738,40.176223336275,"(40.176223336275, 44.519404572738)"
bnakaran,d112558,204000.0,86.0,3.0,8.0,9.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.515933,40.180578,"(40.180578, 44.515933)"
bnakaran,d112824,840000.0,207.0,4.0,2.0,16.0,Monolit,New/Excellent Condition,2.0,1,0,0,0,0,1,0,0,44.515523705693,40.177248259983,"(40.177248259983, 44.515523705693)"
bnakaran,d112507,500000.0,167.0,4.0,13.0,16.0,Monolit,Good Condition,3.0,1,0,0,0,0,0,0,0,44.515578830688,40.203528626234,"(40.203528626234, 44.515578830688)"
bnakaran,d110016,420000.0,104.0,4.0,3.0,13.0,Monolit,Good Condition,1.0,1,0,0,0,0,0,0,0,44.512981845922,40.184524309756,"(40.184524309756, 44.512981845922)"
bnakaran,d110631,265000.0,80.0,2.0,1.0,4.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.518533407409,40.187542079434,"(40.187542079434, 44.518533407409)"
bnakaran,d116353,298000.0,84.0,3.0,4.0,4.0,Stone,New/Excellent Condition,2.0,0,0,0,0,0,0,0,0,44.517297863326,40.182846015639,"(40.182846015639, 44.517297863326)"
bnakaran,d117759,210000.0,74.0,2.0,1.0,5.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,1,1,0,44.518449856751,40.177529209982,"(40.177529209982, 44.518449856751)"
bnakaran,d115339,455000.0,90.0,3.0,3.0,6.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,1,0,0,44.512879,40.17787,"(40.17787, 44.512879)"
bnakaran,d116022,325000.0,74.0,2.0,3.0,5.0,Stone,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,0,44.516382591263,40.188520643818,"(40.188520643818, 44.516382591263)"
bnakaran,d116177,155000.0,41.0,2.0,3.0,4.0,Stone,Good Condition,1.0,0,0,0,0,0,1,0,0,44.507028677246,40.177379067152,"(40.177379067152, 44.507028677246)"
bnakaran,d116354,360000.0,85.0,3.0,4.0,4.0,Stone,New/Excellent Condition,2.0,0,0,0,0,0,0,0,0,44.51352528836,40.188524099788,"(40.188524099788, 44.51352528836)"
bnakaran,d116384,329000.0,72.0,3.0,3.0,5.0,Stone,Good Condition,1.0,0,0,0,0,0,1,1,0,44.512879,40.17787,"(40.17787, 44.512879)"
