,source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
1674,bnakaran,d116797,355000.0,150.0,3.0,2.0,5.0,2.0,0,0,0,0,0,0,0,0,44.521160244306,40.179595500574,879,10692,3539,3042,4886,7,8,7,0,0,0,1,0,0,0,0,1,1,0,0,0
1675,bnakaran,d115828,260000.0,98.0,3.0,6.0,8.0,1.0,1,0,0,0,0,0,0,0,44.52408279895,40.21301744798,3099,12482,7031,3114,8239,1,2,3,0,0,0,0,3,1,0,0,0,1,0,0,0
1676,bnakaran,d115219,350000.0,96.0,3.0,12.0,19.0,1.0,1,0,0,0,0,0,0,0,44.489020661377,40.213815437536,3803,10165,8188,1886,7666,1,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0
1677,bnakaran,d117853,80000.0,38.0,1.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.500426626983,40.18417750346,1262,9200,4945,1558,4537,0,5,9,1,1,0,0,4,0,0,0,1,1,0,0,0
1678,bnakaran,d106525,165000.0,72.0,2.0,2.0,14.0,1.0,1,0,0,0,0,1,0,0,44.533202460265,40.211536589595,3229,13056,6770,3706,8429,0,3,3,0,0,1,0,3,1,0,0,0,1,0,0,0
1679,bnakaran,d110205,295000.0,52.0,2.0,8.0,14.0,1.0,1,0,0,0,0,1,0,0,44.509256775114,40.181609846363,695,9799,4252,2179,4539,8,17,6,3,0,2,5,3,1,0,0,0,1,0,0,0
1681,bnakaran,d117841,190000.0,87.0,3.0,7.0,12.0,2.0,0,0,0,0,0,1,0,0,44.499560407409,40.199359759745,1986,9910,6350,544,6164,12,9,0,2,0,0,2,1,0,0,1,0,1,0,0,0
1682,bnakaran,d110691,146575.0,90.0,2.0,14.0,17.0,2.0,1,0,0,1,0,1,1,0,44.541354103118,40.193083636254,2365,12798,4706,4067,7136,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1684,bnakaran,d111121,300000.0,96.0,3.0,11.0,12.0,2.0,1,0,0,0,0,1,0,0,44.516353321425,40.164977967016,2340,9945,2481,4067,3420,7,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0
1687,bnakaran,d114129,480000.0,165.0,5.0,11.0,17.0,3.0,1,0,0,0,0,0,0,0,44.497218203705,40.19384491096,1750,9427,5954,477,5525,5,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0
