source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Balcony,F_Internet,F_Security,F_Elevator,F_Air Conditioner,F_Heating System,F_Furniture,latitude,longitude,SL_opera,SL_zvartnoc,SL_central_cemetery,SL_baghramyan_subway,SL_shengavit_subway,L_pharmacy,L_atm,L_parking,L_clinic,L_place_of_worship,L_university,L_kindergarten,L_hospital,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
myrealty,135789,255000.0,113.0,3.0,4.0,13.0,2.0,1,0,0,0,0,0,1,1,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,1,0,0,0,0,0,1,0
myrealty,141844,74000.0,50.0,1.0,5.0,5.0,1.0,0,1,0,0,0,0,0,0,44.49857435,40.209585149999995,2974,10487,7379,1431,7271,0,0,1,0,1,0,0,4,0,0,0,1,0,1,0,0
myrealty,142577,130000.0,80.0,3.0,13.0,14.0,1.0,0,1,0,0,1,0,1,0,44.52473536231635,40.20625843913501,2396,12140,6283,2813,7578,1,5,8,0,2,0,3,0,0,0,1,0,1,0,0,0
bars,4-1-4,150000.0,50.0,1.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50603348930943,40.19194689069822,1014,9991,5360,1195,5503,3,8,1,0,0,1,0,0,0,0,0,1,1,0,0,0
myrealty,142739,99000.0,55.0,2.0,4.0,5.0,1.0,1,0,0,0,1,0,0,0,44.457979422619005,40.17534841784899,4994,5515,7398,3895,4130,2,9,4,0,0,0,0,0,1,0,0,0,0,1,0,0
bnakaran,d117785,290000.0,61.0,1.0,5.0,9.0,1.0,1,0,0,1,0,1,0,0,44.512879,40.17787,923,9963,3734,2696,4324,1,16,14,1,0,0,0,0,1,0,0,0,0,0,1,0
myrealty,127456,135000.0,55.0,2.0,6.0,10.0,1.0,0,0,0,0,0,0,0,0,44.501454103422454,40.1775189895369,1493,9025,4353,2287,3860,7,6,6,1,1,0,1,1,0,0,1,0,1,0,0,0
bnakaran,d117747,432000.0,100.0,3.0,5.0,5.0,2.0,0,0,0,0,0,0,0,0,44.507103,40.177711,1144,9488,4031,2448,4069,9,15,7,0,1,0,1,0,0,0,0,1,1,0,0,0
myrealty,142645,159000.0,70.0,2.0,2.0,5.0,1.0,1,0,0,0,0,0,0,0,44.50523170804844,40.19493042144863,1298,10082,5680,1005,5800,0,1,3,0,0,1,0,0,1,0,0,0,0,1,0,0
myrealty,141960,235000.0,77.0,3.0,4.0,5.0,1.0,0,0,1,0,0,1,1,1,44.51240035,40.1775186,970,9913,3727,2703,4269,1,16,15,1,0,0,0,0,0,0,0,1,0,0,1,0
myrealty,142638,400000.0,87.0,3.0,5.0,10.0,2.0,1,0,1,0,1,1,1,1,44.51467793334746,40.18220208362412,423,10255,4053,2438,4815,6,26,9,3,0,1,2,2,1,0,0,0,0,0,1,0
