,source,webpage,success,error,skipped
169,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142450,True,,
170,bars,https://bars.am/en/properties/standard/apartment/4-3-1420,True,,
171,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Mashtots+Ave/Center/Yerevan/142437,True,,
172,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Buzand+St/Center/Yerevan/142418,True,,
173,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-downtown-yerevan-d117224,True,,
174,myrealty,https://myrealty.am/en/1-bedroom/apartment-for-sale/Hasratyan+St/Qanaqer-Zeytun/Yerevan/142413,True,,
175,bars,https://bars.am/en/properties/standard/apartment/4-2-157,True,,
176,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Baghramyan+av%28Arabkir%29/Arabkir/Yerevan/142389,True,,
177,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Kievyan+St/Arabkir/Yerevan/142387,True,,
178,bars,https://bars.am/en/properties/standard/apartment/4-2-204,True,,
179,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Buzand+St/Center/Yerevan/142384,True,,
180,bars,https://bars.am/en/properties/standard/apartment/6-Sh2-50,True,,
181,myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Myasnikyan+Ave/Center/Yerevan/142383,True,,
182,myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Myasnikyan+Ave/Center/Yerevan/142382,True,,
183,myrealty,https://myrealty.am/en/6-bedroom/apartment-for-sale/Myasnikyan+Ave/Center/Yerevan/142380,True,,
184,bars,https://bars.am/en/properties/standard/apartment/1-DH-10,True,,
185,bnakaran,https://www.bnakaran.com/en/apartment-for-rent-in-downtown-yerevan-d117266,True,,
186,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin+St/Center/Yerevan/142377,True,,
187,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Antarayin%2C+G.Emin+St%2C/Center/Yerevan/142376,True,,
188,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Moldovakan+St/Nor+Norq/Yerevan/142373,True,,
189,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Heratsi+St/Center/Yerevan/142359,True,,
190,bars,https://bars.am/en/properties/standard/apartment/1-DH-11,True,,
191,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Sayat-Nova+Ave/Center/Yerevan/142358,True,,
192,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Saryan+St/Center/Yerevan/142357,True,,
193,myrealty,https://myrealty.am/en/4-bedroom/apartment-for-sale-in-new-construction/Aram+St/Center/Yerevan/142348,True,,
194,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Ghazar+Parpetsi+St/Center/Yerevan/142339,True,,
195,bars,https://bars.am/en/properties/standard/apartment/1-DH-12,True,,
196,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Komitas+Ave/Arabkir/Yerevan/142338,True,,
197,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Arxutyan+St/Arabkir/Yerevan/142337,True,,
198,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale-in-new-construction/Charents+St/Center/Yerevan/142307,True,,
199,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale-in-new-construction/Charents+St/Center/Yerevan/142306,True,,
200,bars,https://bars.am/en/properties/standard/apartment/1-DH-21,True,,
201,myrealty,https://myrealty.am/en/2-bedroom/apartment-for-sale/Mashtots+Ave/Center/Yerevan/142296,True,,
202,myrealty,https://myrealty.am/en/3-bedroom/apartment-for-sale/Ghazar+Parpetsi+St/Center/Yerevan/142292,True,,
203,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-sale-in-arabkir-yerevan-d42339,True,,True
204,bnakaran,https://www.bnakaran.com/en/apartment-in-new-building-for-rent-in-downtown-yerevan-d117291,True,,
